gun;cut_off_time;kabul_ili;varis_ili;gonderi_turu;id;varýs_gunu
2;17:30:00;3;12;MEKTUP;516;NULL
2;17:00:00;3;13;APG;517;NULL
3;17:30:00;3;13;APG;518;NULL
2;17:00:00;3;13;KARGO;519;NULL
3;17:30:00;3;13;KARGO;520;NULL
2;17:00:00;3;13;MEKTUP;521;NULL
3;17:30:00;3;13;MEKTUP;522;NULL
1;17:30:00;3;14;APG;523;NULL
1;17:30:00;3;14;KARGO;524;NULL
1;17:30:00;3;14;MEKTUP;525;NULL
1;17:30:00;3;15;APG;526;NULL
1;17:30:00;3;15;KARGO;527;NULL
2;17:30:00;3;15;MEKTUP;528;NULL
1;17:30:00;3;16;APG;529;NULL
1;17:30:00;3;16;KARGO;530;NULL
1;17:30:00;3;16;MEKTUP;531;NULL
2;17:30:00;3;17;APG;532;NULL
2;17:30:00;3;17;KARGO;533;NULL
2;17:30:00;3;17;MEKTUP;534;NULL
2;17:30:00;3;18;APG;535;NULL
2;17:30:00;3;18;KARGO;536;NULL
2;17:30:00;3;18;MEKTUP;537;NULL
2;17:30:00;3;19;APG;538;NULL
2;17:30:00;3;19;KARGO;539;NULL
2;17:30:00;3;19;MEKTUP;540;NULL
2;17:30:00;3;20;APG;541;NULL
1;17:30:00;3;20;KARGO;542;NULL
2;17:30:00;3;20;MEKTUP;543;NULL
2;17:30:00;3;21;APG;544;NULL
2;17:30:00;3;21;KARGO;545;NULL
2;17:30:00;3;21;MEKTUP;546;NULL
2;17:30:00;3;22;APG;547;NULL
2;17:30:00;3;22;KARGO;548;NULL
2;17:30:00;3;22;MEKTUP;549;NULL
2;17:30:00;3;23;APG;550;NULL
2;17:30:00;3;23;KARGO;551;NULL
2;17:30:00;3;23;MEKTUP;552;NULL
2;17:30:00;3;24;APG;553;NULL
2;17:30:00;3;24;KARGO;554;NULL
2;17:30:00;3;24;MEKTUP;555;NULL
2;17:30:00;3;25;APG;556;NULL
2;17:30:00;3;25;KARGO;557;NULL
2;17:30:00;3;25;MEKTUP;558;NULL
1;17:30:00;3;26;APG;559;NULL
1;17:30:00;3;26;KARGO;560;NULL
1;17:30:00;3;26;MEKTUP;561;NULL
2;17:30:00;3;27;APG;562;NULL
2;17:30:00;3;27;KARGO;563;NULL
2;17:30:00;3;27;MEKTUP;564;NULL
2;17:30:00;3;28;APG;565;NULL
2;17:30:00;3;28;KARGO;566;NULL
2;17:30:00;3;28;MEKTUP;567;NULL
2;17:30:00;3;29;APG;568;NULL
2;17:30:00;3;29;KARGO;569;NULL
2;17:30:00;3;29;MEKTUP;570;NULL
3;17:30:00;3;30;APG;571;NULL
3;17:30:00;3;30;KARGO;572;NULL
3;17:30:00;3;30;MEKTUP;573;NULL
2;12:55:00;3;31;APG;574;NULL
2;12:55:00;3;31;KARGO;575;NULL
2;12:55:00;3;31;MEKTUP;576;NULL
1;17:30:00;3;32;APG;577;NULL
1;17:30:00;3;32;KARGO;578;NULL
1;17:30:00;3;32;MEKTUP;579;NULL
1;12:55:00;3;33;APG;580;NULL
1;12:55:00;3;33;KARGO;581;NULL
1;12:55:00;3;33;MEKTUP;582;NULL
1;17:00:00;3;34;APG;583;NULL
1;17:30:00;3;34;APG;584;NULL
2;17:30:00;3;34;APG;585;NULL
1;17:30:00;3;34;KARGO;586;NULL
1;17:00:00;3;34;MEKTUP;587;NULL
1;17:30:00;3;34;MEKTUP;588;NULL
2;17:30:00;3;34;MEKTUP;589;NULL
1;17:30:00;3;35;APG;590;NULL
1;17:30:00;3;35;KARGO;591;NULL
1;17:30:00;3;35;MEKTUP;592;NULL
2;17:30:00;3;36;APG;593;NULL
2;17:30:00;3;36;KARGO;594;NULL
2;17:30:00;3;36;MEKTUP;595;NULL
2;17:30:00;3;37;APG;596;NULL
2;17:30:00;3;37;KARGO;597;NULL
2;17:30:00;3;37;MEKTUP;598;NULL
1;12:55:00;3;38;APG;599;NULL
